hora,incr,dia,hora dec,tag,habilitar sleep
00:00:00,0,43745,,,extendido?
00:10:00,0,43745,0.006944444444444,2,0
00:20:00,0,43745,0.013888888888889,2,0
00:30:00,0,43745,0.020833333333333,2,0
00:40:00,0,43745,0.027777777777778,2,0
00:50:00,0,43745,0.034722222222222,2,0
01:00:00,0,43745,0.041666666666667,2,0
01:10:00,0,43745,0.048611111111111,2,0
01:20:00,0,43745,0.055555555555556,2,0
01:30:00,0,43745,0.0625,2,0
01:40:00,0,43745,0.069444444444445,2,0
01:50:00,0,43745,0.076388888888889,2,0
02:00:00,0,43745,0.083333333333333,2,0
02:10:00,0,43745,0.090277777777778,2,0
02:20:00,0,43745,0.097222222222222,2,0
02:30:00,0,43745,0.104166666666667,2,0
02:40:00,0,43745,0.111111111111111,2,0
02:50:00,0,43745,0.118055555555556,2,0
03:00:00,0,43745,125,2,0
03:10:00,0,43745,0.131944444444444,2,0
03:20:00,0,43745,0.138888888888889,2,0
03:30:00,0,43745,0.145833333333333,2,0
03:40:00,0,43745,0.152777777777778,2,0
03:50:00,0,43745,0.159722222222222,2,0
04:00:00,0,43745,0.166666666666667,2,0
04:10:00,0,43745,0.173611111111111,2,0
04:20:00,0,43745,0.180555555555556,2,0
04:30:00,0,43745,0.1875,2,0
04:40:00,0,43745,0.194444444444444,2,0
04:50:00,0,43745,0.201388888888889,2,0
05:00:00,0,43745,0.208333333333333,2,0
05:10:00,0,43745,0.215277777777778,2,0
05:20:00,0,43745,0.222222222222222,2,0
05:30:00,0,43745,0.229166666666667,2,0
05:40:00,0,43745,0.236111111111111,2,0
05:50:00,0,43745,0.243055555555556,2,0
06:00:00,0,43745,0.25,2,0
06:10:00,0,43745,0.256944444444444,2,0
06:20:00,0,43745,0.263888888888889,2,0
06:30:00,0,43745,0.270833333333333,2,0
06:40:00,0,43745,0.277777777777778,2,0
06:50:00,0,43745,0.284722222222222,2,0
07:00:00,0,43745,0.291666666666667,2,0
07:10:00,0,43745,0.298611111111111,2,0
07:20:00,0,43745,0.305555555555555,2,0
07:30:00,0,43745,0.3125,2,0
07:40:00,0,43745,0.319444444444444,2,0
07:50:00,0,43745,0.326388888888889,2,0
08:00:00,0,43745,0.333333333333333,2,0
08:10:00,0,43745,0.340277777777777,2,0
08:20:00,0,43745,0.347222222222222,2,1
08:30:00,0,43745,0.354166666666666,2,1
08:40:00,0,43745,0.361111111111111,2,1
08:50:00,0,43745,0.368055555555555,2,1
09:00:00,0,43745,375,2,1
09:10:00,0,43745,0.381944444444444,2,1
09:20:00,0,43745,0.388888888888888,2,1
09:30:00,0,43745,0.395833333333333,2,1
09:40:00,0,43745,0.402777777777777,2,1
09:50:00,0,43745,0.409722222222222,2,1
10:00:00,0,43745,0.416666666666666,2,1
00:10:00,150,43746,0.006944444444444,2,0
00:20:00,150,43746,0.013888888888888,2,0
00:30:00,150,43746,0.020833333333333,2,0
00:40:00,150,43746,0.027777777777777,2,0
00:50:00,150,43746,0.034722222222222,2,0
01:00:00,150,43746,0.041666666666666,2,0
01:10:00,150,43746,0.048611111111111,2,0
01:20:00,150,43746,0.055555555555555,2,0
01:30:00,150,43746,0.0625,2,0
01:40:00,150,43746,0.069444444444444,2,0
01:50:00,150,43746,0.076388888888888,2,0
02:00:00,150,43746,0.083333333333333,2,0
02:10:00,150,43746,0.090277777777777,2,0
02:20:00,150,43746,0.097222222222222,2,0
02:30:00,150,43746,0.104166666666666,2,0
02:40:00,150,43746,0.111111111111111,2,0
02:50:00,150,43746,0.118055555555555,2,0
03:00:00,150,43746,125,2,0
03:10:00,150,43746,0.131944444444444,2,0
03:20:00,150,43746,0.138888888888888,2,0
03:30:00,150,43746,0.145833333333333,2,0
03:40:00,150,43746,0.152777777777777,2,0
03:50:00,150,43746,0.159722222222222,2,0
04:00:00,150,43746,0.166666666666666,2,0
04:10:00,150,43746,0.173611111111111,2,0
04:20:00,150,43746,0.180555555555555,2,0
04:30:00,150,43746,0.1875,2,0
04:40:00,150,43746,0.194444444444444,2,0
04:50:00,150,43746,0.201388888888888,2,0
05:00:00,150,43746,0.208333333333333,2,0
05:10:00,150,43746,0.215277777777777,2,0
05:20:00,150,43746,0.222222222222222,2,0
05:30:00,150,43746,0.229166666666666,2,0
05:40:00,150,43746,0.236111111111111,2,0
05:50:00,150,43746,0.243055555555555,2,0
06:00:00,150,43746,0.25,2,0
06:10:00,150,43746,0.256944444444444,2,0
06:20:00,150,43746,0.263888888888888,2,0
06:30:00,150,43746,0.270833333333333,2,0
06:40:00,150,43746,0.277777777777777,2,0
06:50:00,150,43746,0.284722222222222,2,0
07:00:00,150,43746,0.291666666666666,2,0
07:10:00,150,43746,0.29861111111111,2,0
07:20:00,150,43746,0.305555555555555,2,1
07:30:00,150,43746,0.312499999999999,2,1
07:40:00,150,43746,0.319444444444444,2,1
07:50:00,150,43746,0.326388888888888,2,1
08:00:00,150,43746,0.333333333333333,2,1
08:10:00,150,43746,0.340277777777777,2,1
08:20:00,150,43746,0.347222222222221,2,1
08:30:00,150,43746,0.354166666666666,2,1
08:40:00,150,43746,0.36111111111111,2,1
08:50:00,150,43746,0.368055555555555,2,1
09:00:00,150,43746,0.374999999999999,2,1
09:10:00,150,43746,0.381944444444444,2,1
09:20:00,150,43746,0.388888888888888,2,1
09:30:00,150,43746,0.395833333333332,2,1
09:40:00,150,43746,0.402777777777777,2,1
09:50:00,150,43746,0.409722222222221,2,1
10:00:00,150,43746,0.416666666666666,2,1
00:10:00,300,43747,0.006944444444443,2,0
00:20:00,300,43747,0.013888888888888,2,0
00:30:00,300,43747,0.020833333333332,2,0
00:40:00,300,43747,0.027777777777777,2,0
00:50:00,300,43747,0.034722222222221,2,0
01:00:00,300,43747,0.041666666666666,2,0
01:10:00,300,43747,0.04861111111111,2,0
01:20:00,300,43747,0.055555555555555,2,0
01:30:00,300,43747,0.062499999999999,2,0
01:40:00,300,43747,0.069444444444443,2,0
01:50:00,300,43747,0.076388888888888,2,0
